Name,Location,Lat,Lng,Day,Category,Description
Venice Marco Polo (VCE),Venice Marco Polo Airport Italy,45.5053,12.3396,Day 1,Transit,Arrival airport
Venice-Mestre Beautiful Apartment (Base 1),Via della Brenta Vecchia 34 Mestre,45.4910,12.2409,Day 1,Base,Arrival base in Mestre
Mestre Train Station,Venezia Mestre Italy,45.4826,12.2319,Day 2,Transit,Pick up National Car Rental at 12:00 PM
Ortisei (Base 2),Ortisei BZ Italy,46.5734,11.6742,Day 2-6,Base,Western Dolomites Base (5 Nights)
Zanser Alm (Adolf Munkel),Zanser Alm Funes Italy,46.6358,11.7671,Day 3,Hike,Parking for the Adolf Munkel Weg hike
Alpe di Siusi Cable Car,Seiser Alm Aerial Cableway Ortisei,46.5702,11.6708,Day 4,Activity,Take the cable car up for E-biking
Seceda Cable Car,Seceda Cableway Ortisei,46.5762,11.6748,Day 5,Activity,Cable car to the famous postcard ridge
Passo Gardena,Passo Gardena Italy,46.5501,11.8087,Day 6,Hike,Starting point for Via Ferrata Gran Cir
Sella Pass,Passo Sella Italy,46.5085,11.7573,Day 7,Transit,Scenic driving pass
Marmolada Cable Car,Malga Ciapela Italy,46.4258,11.9056,Day 7,Activity,Cable car to the highest peak in the Dolomites
Passo Falzarego,Passo Falzarego Italy,46.5188,12.0094,Day 7,Activity,Lagazuoi cable car and WWI tunnels
Cortina d'Ampezzo (Base 3),Cortina d'Ampezzo Italy,46.5385,12.1357,Day 7-12,Base,Eastern Dolomites Base (5 Nights)
Cinque Torri,Baita Bai de Dones Cortina,46.5186,12.0366,Day 8,Hike,Chairlift for WWI history and towers
Passo Giau,Passo Giau Italy,46.4826,12.0538,Day 8,Activity,Sunset photography
Tre Cime di Lavaredo,Rifugio Auronzo Italy,46.6124,12.2963,Day 9,Hike,The iconic three peaks (Pre-book parking!)
Lago di Sorapis,Passo Tre Croci Italy,46.5567,12.2036,Day 11,Hike,Trailhead for the glacial lake hike
Venice Island (Base 4),Piazza San Marco Venice Italy,45.4343,12.3388,Day 12-14,Base,Venice highlights and cicchetti
Madrid (Base 5),Plaza Mayor Madrid Spain,40.4154,-3.7074,Day 14-16,Base,Post-trip concert and culture
ANYMA Concert,Madrid Spain,40.4168,-3.7038,Day 15,Event,ANYMA presents ÆDEN
