Name,Location,Day,Category,Description
Venice Marco Polo (VCE),Venice Marco Polo Airport Italy,Day 1,Transit,Arrival airport
Mestre Train Station,Venezia Mestre Italy,Day 2,Transit,Pick up National Car Rental at 12:00 PM
Ortisei (Base 1),Ortisei BZ Italy,Day 2-6,Base,Western Dolomites Base (5 Nights)
Zanser Alm (Adolf Munkel),Zanser Alm Funes Italy,Day 3,Hike,Parking for the Adolf Munkel Weg hike
Alpe di Siusi Cable Car,Seiser Alm Aerial Cableway Ortisei,Day 4,Activity,Take the cable car up for E-biking
Seceda Cable Car,Seceda Cableway Ortisei,Day 5,Activity,Cable car to the famous postcard ridge
Passo Gardena,Passo Gardena Italy,Day 6,Hike,Starting point for Via Ferrata Gran Cir
Sella Pass,Passo Sella Italy,Day 7,Transit,Scenic driving pass
Marmolada Cable Car,Malga Ciapela Italy,Day 7,Activity,Cable car to the highest peak in the Dolomites
Passo Falzarego,Passo Falzarego Italy,Day 7,Activity,Lagazuoi cable car and WWI tunnels
Cortina d'Ampezzo (Base 2),Cortina d'Ampezzo Italy,Day 7-12,Base,Eastern Dolomites Base (5 Nights)
Cinque Torri,Baita Bai de Dones Cortina,Day 8,Hike,Chairlift for WWI history and towers
Passo Giau,Passo Giau Italy,Day 8,Activity,Sunset photography
Tre Cime di Lavaredo,Rifugio Auronzo Italy,Day 9,Hike,The iconic three peaks (Pre-book parking!)
Lago di Sorapis,Passo Tre Croci Italy,Day 11,Hike,Trailhead for the glacial lake hike
Venice Island (Base 3),Piazza San Marco Venice Italy,Day 12-14,Base,Venice highlights and cicchetti
Madrid (Base 4),Plaza Mayor Madrid Spain,Day 14-16,Base,Post-trip concert and culture
ANYMA Concert,Madrid Spain,Day 15,Event,ANYMA presents ÆDEN
